"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"2023F","NY","CDEGR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 188"," 182.5"," 175.4"," 174.3"," 167.5"," 164.4"," 172.2"," 169.5"," 162.3"," 144.5"," 147.6"," 143"," 126"," 129.2"," 121.6"," 112.1"," 112.3"," 114.5"," 111"," 106.5"," 101.6"," 104.6"," 98.7"," 86.1"," 90.8"," 94.2"," 92"
"2023F","NY","CDTCR"," 71"," 70.4"," 69.9"," 69.9"," 70.6"," 70.6"," 69.9"," 70.2"," 69.8"," 69.2"," 68.3"," 67"," 66.6"," 66.3"," 65.7"," 64.8"," 64.8"," 64"," 63"," 62.1"," 60.6"," 59.4"," 59.5"," 57.2"," 57"," 56.9"," 57.7"," 58.5"," 59"," 60"," 59.6"," 58.1"," 58.1"," 56.5"," 55.2"," 55.4"," 54.2"," 54.5"," 54.9"," 54.3"," 55.3"," 55"," 54.4"," 55.8"," 55.3"," 55"," 53.4"," 53.4"," 51.9"," 50.9"," 51.9"," 50.3"," 49.5"," 48.4"," 48.9"," 48.1"," 48.2"," 47.8"," 48.1"," 47.4"," 46.2"," 48.7"," 50"," 50.4"
"2023F","NY","CDTPR"," 12.4"," 12.5"," 12.6"," 12.8"," 13.2"," 14.2"," 14.7"," 15"," 15.2"," 15.5"," 15.6"," 15.1"," 15"," 15.5"," 14.4"," 13.6"," 14.7"," 14.6"," 14.4"," 13.3"," 12.6"," 11.7"," 11.1"," 10.1"," 10.3"," 10.6"," 10.7"," 11.3"," 11.6"," 11.9"," 11.5"," 11"," 10.9"," 10.5"," 10.4"," 10.7"," 10.8"," 10.9"," 10.8"," 10.9"," 11.2"," 10.9"," 10.6"," 11.1"," 11.2"," 11"," 10.1"," 10.4"," 9.9"," 9"," 9.5"," 9"," 8.6"," 8.6"," 8.9"," 8.8"," 8.6"," 8.4"," 8.9"," 8.6"," 7.1"," 7.9"," 8.4"," 8.4"
"2023F","NY","CLACE"," .5"," .1"," .1"," .1"," .1"," .1"," .1"," .1"," .1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","NY","CLCCE"," 1.9"," 1.8"," 1.6"," 1.5"," 1.3"," 1.3"," 1.1"," .9"," .8"," .7"," .7"," .7"," .6"," .7"," .7"," .6"," .5"," .6"," .7"," .6"," .6"," .9"," 1.2"," .8"," .9"," .8"," .8"," .7"," .6"," .6"," .5"," .6"," .5"," .4"," .4"," .5"," .6"," .5"," .3"," .4"," .2"," .2"," .1"," .2"," .3"," .4"," .3"," .3"," .2"," .1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","NY","CLEIE"," 31"," 28.2"," 27.2"," 28.6"," 33.3"," 34.5"," 32.9"," 34"," 33.5"," 31.5"," 26.1"," 18.8"," 14.1"," 13.6"," 14.9"," 14"," 14"," 15.3"," 14.3"," 14.6"," 15.1"," 15.1"," 15.7"," 15.9"," 17.5"," 18.7"," 15.2"," 19"," 22.2"," 24.9"," 24.8"," 25.1"," 26.5"," 23.2"," 22.5"," 21.6"," 22.1"," 23.4"," 24.6"," 23"," 24.3"," 23"," 22.4"," 23.2"," 22.3"," 20.4"," 20.6"," 21.1"," 18.7"," 12.6"," 13.5"," 9.5"," 4.7"," 4.5"," 4.4"," 2.1"," 1.5"," .6"," .7"," .5"," .2"," 0"," 0"," 0"
"2023F","NY","CLICE"," 29.1"," 27.1"," 27.2"," 28.6"," 33"," 33.5"," 33.3"," 32.3"," 30.5"," 28.7"," 28.6"," 20.7"," 18.1"," 19.8"," 19"," 14.4"," 19.3"," 15.5"," 12.7"," 14.3"," 13.6"," 12.9"," 10.1"," 8.5"," 9.7"," 8.9"," 7.6"," 7.9"," 8.6"," 8.8"," 7.7"," 7.7"," 6.7"," 7.1"," 7"," 6.7"," 6.7"," 6.8"," 7"," 6.7"," 6.9"," 5.9"," 4.2"," 3.9"," 3.6"," 3.7"," 3.5"," 3.3"," 3"," 2.2"," 2.4"," 2.4"," 2.3"," 2"," 1.8"," 1.8"," 1.3"," 1.3"," .9"," .8"," .4"," .5"," .6"," .5"
"2023F","NY","CLRCE"," 2.7"," 2.6"," 2.4"," 2"," 1.9"," 1.7"," 1.4"," 1.2"," 1.1"," .9"," .8"," .7"," .5"," .4"," .3"," .3"," .2"," .2"," .2"," .1"," .2"," .2"," .2"," .1"," .2"," .2"," .3"," .2"," .2"," .2"," .1"," .1"," .1"," .1"," .1"," .1"," .1"," .1"," 0"," .1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","NY","CLTCE"," 65.3"," 59.8"," 58.5"," 60.7"," 69.6"," 71.1"," 68.8"," 68.4"," 65.9"," 61.8"," 56.2"," 40.9"," 33.3"," 34.5"," 35"," 29.3"," 34"," 31.6"," 28"," 29.6"," 29.5"," 29"," 27.3"," 25.4"," 28.4"," 28.5"," 24"," 27.9"," 31.5"," 34.5"," 33.1"," 33.4"," 33.8"," 30.8"," 29.9"," 28.9"," 29.5"," 30.8"," 32"," 30.1"," 31.4"," 29.1"," 26.7"," 27.3"," 26.3"," 24.5"," 24.4"," 24.6"," 21.8"," 14.9"," 15.9"," 11.9"," 6.9"," 6.5"," 6.2"," 3.9"," 2.8"," 1.9"," 1.6"," 1.3"," .5"," .5"," .6"," .5"
"2023F","NY","FFACE"," 55.6"," 56.8"," 56.7"," 58.1"," 59.7"," 61.5"," 64.8"," 68.4"," 70.9"," 75"," 76.6"," 79.3"," 79"," 82.9"," 74.6"," 73.2"," 77.4"," 76.3"," 76.9"," 76.1"," 71.5"," 66.9"," 59.9"," 54.2"," 49.4"," 58.2"," 59.3"," 62.7"," 59.8"," 60"," 63.9"," 62.3"," 60.8"," 61.7"," 60.6"," 62.5"," 65.7"," 65.6"," 66.2"," 66.5"," 67.4"," 67"," 68.6"," 74.1"," 75.3"," 73.4"," 74.5"," 73.8"," 72.9"," 70.9"," 81.2"," 75.9"," 74.2"," 74.7"," 78.9"," 77.2"," 80.2"," 81"," 81.6"," 79.6"," 59.8"," 69.2"," 75.2"," 77.6"
